Area,Year,Urban or Rural,Main Grain,"Main Grain, cereal",Edible Oil,"Edible Oil, vegetable",Vegetable & Fungus,Meat of Mammal,Pigmeat,Bovine Meat,Mutton & Goat Meat,Poultry Meat,"Fish, Seafood",Eggs,Milk,Melon & Fruit,Sugar
"China, mainland",2015,Urban,112.6,101.6,11.1,10.7,104.4,28.9,20.7,2.4,1.5,9.4,14.7,10.5,17.1,55.1,1.3
Beijing,2015,Urban,88.5,79.2,11,11,102.1,26.4,14,3.6,3.1,6.3,10.3,14,28.9,71.5,0.8
Tianjin,2015,Urban,118.4,109,10.7,10.7,116.7,26.1,16,3,3.2,5.2,17.6,17.1,18.5,74,1.3
Hebei,2015,Urban,115.8,105.7,9.7,9.6,94.7,22.8,13.6,2.1,1.9,5.2,7.5,13.7,21.2,63.4,1
Shanxi,2015,Urban,110.7,98.2,8.2,8.1,85.2,16.7,10.6,1,1.7,2.7,4.9,11.4,20.6,60.1,0.8
Neimenggu,2015,Urban,146.5,133.2,9.8,9.6,104.9,37.2,16.4,5.2,10.6,5.9,6.5,10.8,28.7,65.6,1.3
Liaoning,2015,Urban,128.2,112.6,11.8,11.7,125,28.7,18.7,3,1.8,5.8,18,13.9,19.5,74.9,1.5
Jilin,2015,Urban,120.5,109.7,11.8,11.8,98.9,21.1,14.2,2.5,1,4,8.9,10.7,13.6,57.8,1.2
Heilongjiang,2015,Urban,135.5,120.3,13.8,13.7,110.1,24.5,15.5,2.3,1.7,5.3,10.1,11.9,14.8,67.1,1.8
Shanghai,2015,Urban,99.4,87.6,9.5,9.3,104.4,28.8,20.3,2.7,1,12,25.7,10.5,22.7,53,1.4
Jiangsu,2015,Urban,107.6,95.6,12.3,12.1,110.2,28,20.6,2,0.9,11,19.6,10.6,19.3,47.1,1.1
Zhejiang,2015,Urban,118.8,106.3,11.4,11.1,95.5,27.2,21.5,2.1,0.6,10.6,27,8,14.4,53,1.4
Anhui,2015,Urban,106.7,94.7,9.6,9.1,94,24.6,18.8,2.1,1,10.9,12.4,10.9,14.2,43.2,1.8
Fujian,2015,Urban,105.8,96.1,9.2,8.6,89.5,32.2,26.3,2,0.8,9.5,30,8.8,13.5,43.2,1.5
Jiangxi,2015,Urban,117.1,106.7,14.4,13.9,114.3,30.9,24,2.6,0.4,10.2,16.9,8.7,17.3,47.9,1.1
Shandong,2015,Urban,114.1,104,9.4,9.3,99.9,24.9,14.9,1.7,1.4,6.5,15.6,17.2,24.3,74.5,1
Henan,2015,Urban,120.4,108.9,9.6,9.6,98.5,20.5,13.5,1.9,1.5,6.7,5.4,14.4,18.8,60.7,1.3
Hubei,2015,Urban,98.3,86.4,13.9,13.6,112.4,28.6,20.9,2.4,0.8,6.5,17.5,8.7,11.7,42.8,0.9
Hunan,2015,Urban,103.1,94.2,13.3,11.3,99.9,33.1,26.7,2.4,0.7,10.4,14.7,7.2,9.1,59.9,1.4
Guangdong,2015,Urban,97.8,89.9,9.1,8.8,97.6,36.7,28.7,2.2,0.7,18,23.6,7.3,11,42,1.2
Guangxi,2015,Urban,106.3,97.8,9.3,8.7,100.1,36.7,30.3,2.6,0.8,20,14.2,6.5,10.4,49.4,1.7
Hainan,2015,Urban,90.1,84.3,8.5,8,100.7,33.1,28.2,2.1,0.8,21.2,31.6,5.7,7,39.9,1.1
Chongqing,2015,Urban,114.7,99.1,15,14.2,131.7,41.8,33.7,1.9,0.7,13,12,10.1,19.9,48,2.6
Sichuan,2015,Urban,126.1,114,14.1,13.1,136.8,43.3,35.6,2.2,0.6,12.6,9.2,9.1,16.5,46.6,1.6
Guizhou,2015,Urban,106.8,95.6,11.5,10.1,88.5,31.7,26.6,1.9,0.3,7.7,3.9,5.8,11.7,40.4,1.2
Yunnan,2015,Urban,110.7,99.8,10.1,8.6,112.7,30,23.2,3,0.4,8.2,5.9,6.1,10.9,42.8,1.5
Xizang,2015,Urban,157.2,153.6,15.6,12.5,62,30.6,10.1,16.4,3.9,3.9,1.9,7,15.9,19.5,2.5
Shaanxi,2015,Urban,115.7,103.4,11.1,10.9,90.8,17.1,11.5,1,1.5,3.3,3.4,9.1,19,56.3,1.1
Gansu,2015,Urban,126.2,116.1,11.9,11.8,102.7,21.4,12.7,2.7,3.1,4.7,3.9,9.5,24.3,70.8,1.7
Qinghai,2015,Urban,94,87.7,8.2,8.2,73.1,25,10.6,5.1,6.8,3.9,3.6,6.2,25,39.9,1.1
Ningxia,2015,Urban,114.2,106.3,8.8,8.8,99.3,19.1,7.4,3.9,6.1,6.2,3.9,7.2,22.4,76.9,1.3
Xinjiang,2015,Urban,153.7,147,13.9,13.8,120.8,26.2,7.4,5.4,11.2,7.5,6,8.7,27.9,70.4,1.6
"China, mainland",2016,Urban,111.9,100.5,11,10.6,107.5,29,20.4,2.5,1.8,10.2,14.8,10.7,16.5,58.1,1.3
Beijing,2016,Urban,81,71.6,9.7,9.7,95.8,24.4,12.8,3.1,3.1,5.9,9,12.1,24.8,65,1.2
Tianjin,2016,Urban,117.3,107.1,10.6,10.6,123.2,27.4,16.5,3.2,3.5,5.9,17.9,18.3,18.3,81.5,1.2
Hebei,2016,Urban,121.9,110.5,10.9,10.8,108.3,23.4,13.7,2.4,2.1,5.5,8.2,14.9,23,70.1,1.2
Shanxi,2016,Urban,109,96.3,8,7.9,87.6,16.2,10.1,1.2,2,2.6,3.1,10.6,18.9,57.8,0.8
Neimenggu,2016,Urban,146.3,132.5,10,9.8,111.2,38.2,16.3,5.9,11,6.5,6.7,11,29.5,68.1,1.7
Liaoning,2016,Urban,126.3,110.8,12.1,12,123.7,30,18.6,3.6,2.3,6.3,18.8,14.8,19.9,79.4,1.4
Jilin,2016,Urban,124.4,112.8,12.4,12.4,107.5,22.3,14.4,3.1,1.4,4.8,9.4,11.2,13.8,62.3,1.3
Heilongjiang,2016,Urban,131.6,117.4,13.8,13.8,103.4,24.5,15.2,2.5,2.1,5.8,10.3,11.8,13.8,68.4,1.9
Shanghai,2016,Urban,102.4,90.3,8.9,8.7,105.1,28.9,19.8,3,1.1,13.2,26.1,11.2,22,56.6,1.4
Jiangsu,2016,Urban,107.4,95.1,12.3,12.2,111.9,28,20.1,2.2,1.1,12.3,20.2,10.9,18.6,49.5,1.1
Zhejiang,2016,Urban,121.5,108.9,11.9,11.6,97.2,26.6,20.8,2.2,0.7,11.3,26,8.3,13.6,54.2,1.4
Anhui,2016,Urban,109.1,96.6,9.8,9.3,100.8,25.6,19.2,2.5,1.3,12,12.8,11.6,13.6,48.3,0.8
Fujian,2016,Urban,104.3,94.7,9.6,9,91.5,32.5,25.5,2.4,1,11.3,29.6,9.4,13.5,45.4,1.6
Jiangxi,2016,Urban,118.5,107.7,14,13.6,114.4,30.1,23.1,2.7,0.5,10.5,16.3,8,14.4,49.9,1.1
Shandong,2016,Urban,114.5,103.9,9.1,9.1,106.5,24.7,14.5,1.9,1.7,6.9,15.9,17.9,22.9,80.3,1
Henan,2016,Urban,122.8,110.5,9.4,9.3,102.8,20.5,13,1.9,1.9,7.1,5.7,14.9,17.9,66.3,1.2
Hubei,2016,Urban,97,84,12.9,12.6,116.8,28.1,20.3,2.3,1,7.4,18.8,8.6,10.6,47.2,0.9
Hunan,2016,Urban,101.3,92.6,13,11,102.7,33.3,26.6,2.7,0.9,11.2,15.9,7.6,8.4,60.6,1.3
Guangdong,2016,Urban,96.5,88.5,9.2,8.9,97.9,36.3,28.2,2.2,0.9,19.1,23.5,7.3,9.7,43.5,1.3
Guangxi,2016,Urban,102.2,93.3,8.5,7.9,100.1,36.3,29,3,1.2,20.8,14.1,6.4,9.8,50.7,1.7
Hainan,2016,Urban,93.9,87.2,7.9,7.3,111.9,36.5,30.3,2.7,1,24.4,30.9,6,7,42.2,1.3
Chongqing,2016,Urban,111.9,97,15.1,14,137,42.4,34.1,2,1,14.1,12,9.72,2.5,49.9,2.5
Sichuan,2016,Urban,120,106.8,13.7,12.7,139.2,43,35.2,2.3,0.9,12.9,9.4,8.7,16.3,49,1.9
Guizhou,2016,Urban,105.4,93.3,11.1,9.7,94.4,33.4,27.7,2.2,0.3,8.5,4.2,5.9,11.5,45.4,1.2
Yunnan,2016,Urban,109.3,98.1,9.7,8,112.6,30.4,23.2,3.1,0.6,8.5,6.1,5.6,10.1,44.8,1.4
Xizang,2016,Urban,148.7,145,16.4,12.8,63,41.8,9.9,28,3.5,3.4,1.7,6.6,16.7,21.7,2.8
Shaanxi,2016,Urban,112.7,99.2,10.6,10.5,97.1,16.3,11.4,1,1.7,3.8,3.5,9,19.6,60.2,0.9
Gansu,2016,Urban,124.5,113.1,11,10.9,108.9,21,11.8,2.5,3.6,4.8,3.9,9.2,24.6,78.7,1.8
Qinghai,2016,Urban,100.9,93.9,9,8.9,84.4,26.5,11.4,5.4,7.7,4.1,3.4,6.8,23.1,44.3,1.1
Ningxia,2016,Urban,103.4,95.3,8.3,8.2,101.3,18,6.8,3.7,5.8,6.4,4.3,6.9,20.3,80.3,1.3
Xinjiang,2016,Urban,138.4,131.5,14.3,14.3,123.8,26,6.8,5.3,11.6,8,6.6,8.6,28.7,74.1,1.6
"China, mainland",2017,Urban,109.7,98.6,10.7,10.3,106.7,29.2,20.6,2.6,1.6,9.7,14.8,10.9,16.5,59.9,1.3
Beijing,2017,Urban,72.4,64,8.2,8.2,92.4,23.1,12.4,3.1,2.8,5.7,9,12.1,24,65.8,1
Tianjin,2017,Urban,112.9,102.6,10.5,10.4,120,27.5,16.2,3.5,3.3,6,17.8,18.6,18.4,86.1,1.4
