Area,Year,"Aquatic, total","Marine, total","Marine, capture","Marine, aquac.",Marine Fish,Marine Crustaceans,Marine Molluscs,Marine Plants,"Marine, others","Freshwater, total","Freshwater, capture","Freshwater, aquac.",Freshwater Fish,Freshwater Crustaceans,Freshwater Molluscs,"Freshwater, others"
CNFC,1998,27.41,27.41,27.41,0,25.11,0.2,0.1,0,2,0,0,0,0,0,0,0
CNFC,1999,18.3,18.3,18.3,0,9.51,0.32,8.47,0,0,0,0,0,0,0,0,0
CNFC,2000,17.5823,17.5823,17.5823,0,7.7602,0.2194,9.6027,0,0,0,0,0,0,0,0,0
CNFC,2001,18.2977,18.2977,18.2977,0,8.9539,0.225,9.1188,0,0,0,0,0,0,0,0,0
CNFC,2002,18.2177,18.2177,18.2177,,9.6,0.1,,,8.4604,,,,,,,
CNFC,2003,18.8197,18.8197,18.8197,,8.5674,0.0818,,,10.1705,,,,,,,
CNFC,2004,29.2655,29.2655,29.2655,,11.6629,0.1728,,,17.4298,,,,,,,
CNFC,2005,24.3053,24.3053,24.3053,,24.3053,,,,,,,,,,,
CNFC,2006,26.0352,26.0352,26.0352,,13.4708,0.333,0,0,12.2314,,,,,,,
CNFC,2007,29.1039,29.1039,29.1039,,13.5804,0.2818,,,15.2417,,,,,,,
CNFC,2008,24.8,24.8,24.8,,,,,,,,,,,,,
CNFC,2009,21.7125,21.7125,21.7125,,,,,,,,,,,,,
CNFC,2010,21.9419,21.9419,21.9419,,,,,,,,,,,,,
CNFC,2011,23.6369,23.6369,23.6369,,23.6369,,,,,,,,,,,
CNFC,2012,20.2903,20.2903,20.2903,,20.2903,,,,,,,,,,,
CNFC,2013,,,,,,,,,,22.503,22.503,22.503,,22.503,,
CNFC,2014,26.0847,,,,,,,,,,,,,,,
CNFC,2015,28.1,28.1,28.1,,28.1,,,,,,,,,,,
CNFC,2016,,,,,,,,,,19.7432,19.7432,19.7432,,19.7432,,
CNFC,2017,19.16,19.16,19.16,,19.16,,,,,,,,,,,
"China, mainland",1978,465.5,359.8,314.5,45.3,256.4,50.7,26.8,25.9,0,105.7,29.5,76.2,99.7,3.7,2.3,0
"China, mainland",1980,449.7,325.71,281.3,44.41,234.12,42.05,23.37,26.17,0,123.99,33.97,90.02,116.35,5.14,2.5,0
"China, mainland",1985,705.15,419.74,348.51,71.23,274.53,70.62,47.3,27.29,0,285.41,47.64,237.77,276.48,5.54,3.39,0
"China, mainland",1986,823.6,475.4,389.6,85.8,309.4,76.9,65.8,23.3,0,348.2,53.8,294.4,336.4,6.2,5.6,0
"China, mainland",1987,955.4,548.2,438.2,110,351.6,84,88.9,23.7,0,407.2,60,347.2,393.8,8.1,5.3,0
"China, mainland",1988,1060.9,605.7,463.3,142.4,362.9,103.3,114.4,25.1,0,455.2,65.4,389.8,440.8,8.5,5.9,0
"China, mainland",1989,1151.7,661.2,503.6,157.6,383,105.7,137.5,30,5,490.5,73.5,417,472.8,9.5,7.3,0.9
"China, mainland",1990,1237,713.3,550.9,162.4,423.2,107.1,147.3,27.5,8.2,523.7,78.3,445.4,504.9,9.4,7.6,1.8
"China, mainland",1991,1350.8,800.1,609.6,190.5,466.2,119.4,158.6,40,15.9,550.7,91.5,459.2,530.4,10.7,8.5,1.1
"China, mainland",1992,1557.1,933.7,691.3,242.4,517.6,127.4,204.4,56.8,27.5,623.4,90.1,533.4,598.4,12.4,10.5,2.2
"China, mainland",1993,1823,1076.04,767.34,308.7,557.39,138.66,288.59,69.39,22.01,746.96,102.85,644.11,710.59,13.33,16.29,6.75
"China, mainland",1994,2143.13,1241.5,895.83,345.67,647.37,170.89,323.64,74.52,25.08,901.62,116.59,785.04,859.23,20.29,15.27,6.82
"China, mainland",1995,2517.18,1439.13,1026.84,412.3,758.1,184.8,392.71,74.91,28.61,1078.05,137.29,940.76,1020.94,27.05,20.75,9.31
"China, mainland",1996,3288.09,2012.88,1248.98,763.9,823.52,204.65,852.68,92.91,39.13,1275.22,176.27,1098.95,1177.8,36.28,48.4,12.73
"China, mainland",1997,3601.78,2176.42,1385.38,791.04,964.15,225.71,824.18,97.98,64.4,1425.35,188.64,1236.71,1324.88,47.79,36.38,16.3
"China, mainland",1998,3906.53,2356.71,1496.68,860.02,1055.97,258.57,870.09,104.12,67.97,1549.79,228.34,1321.41,1425.21,60.43,45.79,18.32
"China, mainland",1999,4122.41,2471.93,1497.64,974.3,1057.91,277.08,959.27,119.45,58.22,1650.49,227.77,1422.72,1517.12,70.7,42.96,19.73
"China, mainland",2000,4278.4845,2538.7389,1477.4524,1061.2865,1032.9888,297.0907,1038.6671,122.1973,47.7943,1739.7456,226.3652,1513.3804,1573.05924,88.29966,46.3064,32.0631
"China, mainland",2001,4381.334,2571.6967,1440.6144,1131.0823,1014.7398,302.5418,1078.1415,124.9497,51.3239,1809.6373,214.5899,1595.0474,1629.0458,100.7866,52.5858,27.2023
"China, mainland",2002,4564.5198,2646.3371,1433.4934,1212.8437,1022.2719,310.5385,1119.3231,133.3413,60.7727,1918.1827,225.1626,1692.9875,1710.187,122.2715,56.6963,28.7526
"China, mainland",2003,4704.5502,2685.7267,1432.4206,1253.3061,1028.418,298.201,1109.61,141.3128,108.1849,2018.82309,246.76339,1771.9956,1795.15196,138.75203,54.0427,30.6887
"China, mainland",2004,4901.7671,2767.7907,1451.0858,1316.7049,1017.2677,312.4022,1111.5006,150.5216,176.0986,2133.9764,241.9334,1891.9936,1893.3761,153.2637,53.3412,33.591
"China, mainland",2005,5107.634432,2838.333132,1453.5484,1384.784732,1051.9754,323.7921,1160.4081,154.1479,147.992332,2269.3013,258.7307,2010.5259,2017.5571,162.9013,53.6336,34.8902
"China, mainland",2006,5290.4031,2887.6758,1442.0359,1445.5982,1037.3719,340.852,1203.9765,153.4351,152.0128,2402.7273,254.3667,2148.3018,2124.6149,183.3187,56.8961,75.1913
"China, mainland",2007,4747.5202,2550.888,1243.548,1307.34,891.2794,298.941,1068.1994,138.8383,153.6299,2196.6322,225.5769,1970.9819,1908.4423,202.0538,50.3286,71.0464
"China, mainland",2008,4895.8,2598.4,1257.8,1340.4,864.5,288.6,1072.5,142.4,122.1,2297.4,224.9,2072.6,1998.7,210.1,50.1,38.6
"China, mainland",2009,5116.4039,2681.5555,1275.9422,1405.222,880.8224,303.5863,1120.0207,148.4067,130.9558,2434.8484,218.3236,2216.4514,2109.8558,228.7824,51.7436,43.2002
"China, mainland",2010,5373.0024,2797.5312,1315.2304,1482.3008,906.3222,310.441,1170.4425,156.5958,142.0939,2575.4712,228.8716,2346.503,2225.6044,248.0845,53.6707,47.8175
"China, mainland",2011,5603.1678,2908.0487,1356.7195,1551.3292,1075.1945,321.8471,1212.7704,162.9126,135.2941,2695.1191,223.1633,2471.9295,2343.6207,248.7806,53.7619,48.7182
"China, mainland",2012,5907.636,3033.3437,1389.5332,1643.8105,1101.0306,345.6945,1264.7815,179.0412,142.7718,2874.2923,229.7262,2644.5383,2497.6822,268.6319,53.8067,53.8863
"China, mainland",2013,6149.4999,3116.3223,1377.077,1739.2453,1096.8162,362.5694,1327.5593,188.484,140.8934,3055.6806,253.2457,2824.9379,2647.8541,299.5074,52.8028,55.5163
"China, mainland",2014,6461.5174,3270.1323,1457.4842,1812.6481,1176.4039,382.9462,1371.7118,202.8875,136.1829,3165.3004,229.5413,2935.7591,2770.3107,288.7397,51.4497,54.8003
"China, mainland",2015,6699.6488,3409.6088,1533.9811,1875.6277,1255.335,386.2835,1413.9786,211.4964,142.5153,3290.04,227.7665,3062.2735,2883.3043,300.1607,51.6309,54.9441
"China, mainland",2016,6881.509,3470.4038,1507.273,1963.1308,1232.2916,396.0946,1476.88,219.319,145.8186,3430.8484,251.5861,3199.0055,2986.6531,335.8549,52.5257,55.8147
"China, mainland",2017,6445.3279,3321.7376,1321.0403,2000.6973,1115.7752,370.7149,1481.4194,224.7814,129.0467,3123.5903,218.2973,2905.293,2702.5521,320.7866,46.6675,53.5841
Beijing,1998,7.64,0,0,0,0,0,0,0,0,7.64,0,7.64,7.6,0.03,0,0
Tianjin,1998,21.38,3.29,2.96,0.32,1.06,1.14,1.05,0,0.04,18.09,1.89,16.2,17.63,0.24,0.21,0
Hebei,1998,69.33,38.49,30.22,8.27,15.61,8.46,11.96,0,2.47,30.84,6.61,24.23,29.03,1.47,0.26,0.08
Shanxi,1998,2.26,0,0,0,0,0,0,0,0,2.26,0.04,2.22,2.25,0,0,0.01
Neimenggu,1998,6.2,0,0,0,0,0,0,0,0,6.2,2.45,3.75,6.02,0.18,0,0
Liaoning,1998,312.71,281.41,160.61,120.8,85.53,31.25,113.72,26.41,24.5,31.29,2.79,28.5,29.56,1.18,0,0.55
Jilin,1998,14.2,0,0,0,0,0,0,0,0,14.2,4.97,9.23,13.97,0.01,0.04,0.18
Heilongjiang,1998,35.7,0,0,0,0,0,0,0,0,35.7,7.31,28.39,35.18,0.52,0,0
