Area,Year,"Stock, large animals","Stock, cattle","Stock, horse","Stock, donkey","Stock, mule","Stock, camel","Slaughtered, pig","Stock, pig","Stock, goat & sheep","Stock, goat","Stock, sheep","Slaughtered, cattle","Slaughtered, goat & sheep","Slaughtered, birds","Meat Production, livestocks","Meat Production, pig, cattle, goat & sheep","Meat Production, pig","Meat Production, cattle","Meat Production, goat & sheep","Milk Production, total","Milk Production, cow","Wool Production, sheep","Wool Production, sheep, fine","Wool Production, sheep, semi-fine","Wool Production, goat, thick","Wool Production, goat, cashmere","Egg Production, birds",Honey Production
"China, mainland",1996,13360.6,11031.8,871.5,944.4,478,34.9,41225.1,36283.6,23728.3,12315.8,11412.5,,,,4595.4,3694.7,3158,355.7,181,735.8,629.4,298102,121020,74099,35255,9585,1965.2,18.4
"China, mainland",1997,14541.8,12175.7,891.2,952.8,480.6,35,46483.7,40034.8,25575.7,13480.1,12091.9,,,,5268.7,4249.9,3596.3,440.9,212.8,681.1,601.1,255059,116054,55683,25865,8626,1895.3,21.1
"China, mainland",1998,14803.2,12441.9,898.1,955.8,473.9,33.5,50215.1,42256.3,26903.5,14168.3,12735.2,,,,5723.8,4598.2,3883.7,479.9,234.6,745.4,662.9,277545,115752,68775,31417,9799,2021.3,20.7
"China, mainland",1999,15024.75,12698.34,891.41,934.77,467.27,32.96,51977.2,43144.2,27925.77,14816.26,13109.5,,,,5949,4762.3,4005.6,505.4294,251.2643,806.9073,717.5939,283152,114103,73700,31849,10179.65,2134.667,22.9907
"China, mainland",2000,15151.51,12866.34,876.58,922.73,453.03,32.62,52673.34,44681.54,29031.9007,15715.9277,13315.983,,,,6125.353545,4838.193106,4031.429225,532.805585,273.958296,919.118908,827.43079,292502,117386,84921,33266,11057,2243.3,24.6
"China, mainland",2001,14995.88,12824.23,826.02,881.52,436.21,27.9,54936.68,45742.97,29826.38,16129.15577,13697.22423,,,,6333.918654,5026.009186,4184.47697,548.848436,292.68378,1122.890524,1025.455158,298254.17,114650.61,88075.49,34240.52,10967.66,2336.727116,25.157159
"China, mainland",2002,15189.30041,13084.77391,808.7682,849.8838,419.4445,26.43,56684.3,46291.46229,31655.18475,17275.87166,14379.31309,,,,6586.480813,5228.9,4326.62073,584.6078441,316.6593779,1400.352802,1299.779402,307587.68,112193,102418.68,35459.05,11765,2462.699342,26.464806
"China, mainland",2003,15500.11905,13467.17905,790.02,820.69,395.74,26.49,59200.48764,46601.6918,34053.65503,18320.7,15733.04,,,,6932.939981,5506.301453,4518.610183,630.4480896,357.2431801,1848.62583,1746.280616,338058.23,120263,110249.23,36691.65,13528,2606.725813,28.8786
"China, mainland",2004,15737.76183,13781.82283,763.8511,791.9142,373.9537,26.22,61800.69566,48189.06971,36639.12339,19550.89756,17088.22986,,,,7244.821403,5776.761563,4701.611405,675.871024,399.2791335,2368.361465,2260.605825,373901.69,130413.18,119513.71,37727.14,14514.7,2723.652309,29.31977
"China, mainland",2005,12894.8372,10990.7831,739.9645,777.1569,360.3727,26.56,60367.4235,43319.10612,29792.66832,14658.96111,15133.70721,,,,6938.865,5473.486621,4555.3275,568.0988,350.0601,2864.8252,2753.3729,393171.592,127862.211,123067.814,36903.881,15434.832,2438.1201,29.3211329
"China, mainland",2006,12325.6685,10503.0594,719.3399,730.8657,345.4935,26.91,61208.9877,41854.43367,28337.6113,13956.06947,14381.54183,,,,7099.854662,5608.402198,4650.343031,590.332021,367.7271459,3051.616821,2944.615111,387642.9,130959.31,116042.98,35171.14,16222.91,2424.002796,33.370059
"China, mainland",2007,11998.18574,10397.4569,646.6943506,638.904689,291.0340453,24.09575632,56640.88919,43933.24774,28606.65299,14564.08127,14042.47149,,,,6916.396656,5319.750815,4307.851912,626.2191658,385.6797376,3055.226879,2947.09458,371074.8809,124262.2116,108634.9962,35333.17037,15664.73217,2546.704847,37.97316736
"China, mainland",2008,11529.66283,10067.97374,594.7433872,600.3772839,243.8040302,22.76438952,61278.91523,46433.11522,28823.72373,15066.99165,13756.73208,,,,7370.87799,5692.938978,4682.016502,617.6798541,393.2426219,3236.195467,3010.565012,369664.5909,119278.9374,105272.4176,35477.22354,16533.61963,2699.61922,38.4716751
"China, mainland",2009,11380.76426,10035.86384,562.2810522,540.3534345,219.6749111,22.59102765,64990.92893,47177.20952,29062.98461,14734.04401,14328.94059,,,,7706.668612,5958.455397,4932.846197,626.1777383,399.4314612,3153.929516,2995.133443,358121.0772,124364.7806,109013.2764,35909.63403,16593.21324,2751.877202,39.66581144
