"Area Code",Area,Region
41,"China, mainland",East Asia
1001,Beijing,North China
1002,Tianjin,North China
1003,Hebei,North China
1004,Shanxi,North China
1005,Neimenggu,North China
1006,Liaoning,Northest China
1007,Jilin,Northest China
1008,Heilongjiang,Northest China
1009,Shanghai,East China
1010,Jiangsu,East China
1011,Zhejiang,East China
1012,Anhui,East China
1013,Fujian,East China
1014,Jiangxi,East China
1015,Shandong,East China
1016,Henan,Central China
1017,Hubei,Central China
1018,Hunan,Central China
1019,Guangdong,South China
1020,Guangxi,South China
1021,Hainan,South China
1022,Chongqing,Southwest China
1023,Sichuan,Southwest China
1024,Guizhou,Southwest China
1025,Yunnan,Southwest China
1026,Xizang,Southwest China
1027,Shaanxi,Northwest China
1028,Gansu,Northwest China
1029,Qinghai,Northwest China
1030,Ningxia,Northwest China
1031,Xinjiang,Northwest China
